benchmark,target,input,repeat_index,elapsed_ns,exit_code,validation_passed,source_id,git_sha,timestamp_utc
fannkuch-redux,c,12,1,57963850375,0,true,fannkuchredux-gcc-3,66ec51c00fbf9beda13f6fd08dff52f44aaf8e3d,2026-04-06T22:11:20Z
fannkuch-redux,java,12,1,32707306167,0,true,fannkuchredux-graalvmaot-2,66ec51c00fbf9beda13f6fd08dff52f44aaf8e3d,2026-04-06T22:13:07Z
